text,label,label_id
这个感器节点抖动会引发这个故障吗?,原因,1
有什么更换调节器板件可以用来解决这个故障?,方法,2
这个GIS设备具体由哪些设备构成?,设备组成,0
这个问题的解决当出现隔离开关合不到位或三相不同期时，应拉开重合，反复几次操作时应符合要求，用力适当是什么?,方法,2
这款转子支架主要是由什么设备构成的?,设备组成,0
这个故障的集电环正负极之间形成电解池通常是什么?,原因,1
支撑件主要是由哪些设备组成的?,设备组成,0
这个故障一般用什么目测来解决?,方法,2
这种电弧放电通常是怎样的？,故障,3
这个故障可以通过什么更换密封圈解决?,方法,2
这个油绝缘故障有哪些典型的特征？,故障,3
这个调节器故障会引发这个故障吗?,原因,1
这个问题的随着时间的增加外壳温度升高可能是什么?,后果,4
这个故障通常是由什么油泵损坏引起的?,原因,1
这种阻尼环断裂有哪些提示性的信号或迹象?,故障,3
这个二次回路具体由哪些设备构成?,设备组成,0
控制回路里面有哪些设备呢?,设备组成,0
这个问题的控制电源断开通常是什么情况?,原因,1
这个故障可以采用哪些检查操作回路是否被低气压或低油压闭锁解决?,方法,2
能描述一下这个变压器局部放电的典型情况吗?,故障,3
能详细描述一下这个运行中击穿或损伤的线棒的情况吗?,故障,3
哪种绝缘电阻测试最适合解决这个故障?,方法,2
这个油道堵塞通常出现在哪些设备上?,故障,3
这种操动机构不能分合闸通常是怎样的？,故障,3
这个变形会对工作产生什么样的影响?,后果,4
这个误动对设备可能会造成什么影响?,后果,4
这个问题的通用目测，油面温度是什么?,方法,2
通常是什么操作不当导致引起了这个故障的发生?,原因,1
你能说一下这个油泵内部放电会在设备上呈现什么样的状态吗?,故障,3
能分享一下解决这个故障的油中糠醛测试吗?,方法,2
这个测量回路接触不良导致了这个故障的发生吗?,原因,1
这个母线通常包含哪些设备呢?,设备组成,0
这个问题可能会导致什么绝缘设计裕度不够?,后果,4
这个绝缘设计裕度不够通常会在什么情况下显现出来?,故障,3
这个铁芯中间部位松动的表现有哪些特点?,故障,3
通常是什么电压互感器一次回路开路造成了这个故障?,原因,1
如果出现这个故障，会有什么对绝缘材料有强烈的腐蚀作用?,后果,4
这个集电环短路会对工作环境产生什么影响?,后果,4
你能介绍一下这个发电机定子故障的常见情况吗?,故障,3
这个接头局部过热并使接头的电阻逐步增大通常出现在哪些情况下?,故障,3
为什么发生了这个故障，通信回路受干扰通常是什么?,原因,1
这个问题的将螺栓的螺母均匀紧固，并按照规定压力装压应该是什么?,方法,2
对于这个故障，可以采用什么检查操作回路是否被低气压或低油压闭锁?,方法,2
这个变压器绕阻具体由哪些设备构成?,设备组成,0
如果出现这个故障，会有什么监控系统报警?,后果,4
为什么会有这个故障，通信回路接触不良是什么原因?,原因,1
这种继电保护故障会对设备的工作产生什么影响?,故障,3
对于这个故障，有没有特别推荐的发现异常进行调整，对有变形的连杆，应查明原因及时消除?,方法,2
这个低阻区域出现损伤或间断通常会导致这个故障的发生吗?,原因,1
为什么发生了这个故障，通信电缆损坏通常是什么?,原因,1
这种母线的绝缘电阻降低的症状有哪些特点?,故障,3
励磁系统一般都有些什么设备?,设备组成,0
这个问题可能引发什么样的绝缘电阻和吸收比降低?,后果,4
这个故障可以采用哪些记录故障时间和电站总有功出力的变化情况解决?,方法,2
这个变形会对工作产生什么样的影响?,后果,4
这个外部电源丢失可能导致这个故障吗?,原因,1
这个问题的通用目测是什么?,方法,2
如果发生了这个故障，会有什么造成传动不到位?,后果,4
这个故障通常是由什么线路松动引起的?,原因,1
会出现这个故障会有什么电压互感器出现异声和异常振动?,后果,4
这个磁极间接头常见故障通常出现在哪些情况下?,故障,3
为什么会有这个故障，受长期运行振动和温度的影响，槽楔和垫条会出现松动是什么主要原因?,原因,1
能描述一下这个导电回路发热对设备造成的影响吗?,故障,3
这个故障的油位过低通常是什么?,原因,1
发生了这个故障，会导致什么对绝缘材料有强烈的腐蚀作用?,后果,4
为什么会有这个故障，互感器二次侧熔丝熔断通常是什么?,原因,1
这个故障的密封破损通常是什么?,原因,1
这个发生恶性故障对工作会有怎样的影响?,后果,4
这个故障会引发什么发生恶性故障?,后果,4
交流电压电流回路由什么设备组成?,设备组成,0
这个故障一般用什么机械手动运行来解决?,方法,2
这个元器件损坏可能是造成这个故障的原因吗?,原因,1
厂用电电源是由什么设备构成的?,设备组成,0
哪种检查系统内部电源板件、电源模块的输出最适合解决这个故障?,方法,2
请问一下，这个定子线棒都包含哪些设备?,设备组成,0
如果发生这个故障，会有什么条痕?,后果,4
为什么出现了这个故障，断股是什么主要原因?,原因,1
这个操作不当导致导致了这个故障的发生吗?,原因,1
为什么会有这个故障，电流超过了允许的载流量是什么原因?,原因,1
励磁系统上都有什么设备?,设备组成,0
这个金属尖端放电会对设备的运行产生什么影响?,故障,3
变压器里面都有些啥设备?,设备组成,0
这个随着时间的增加外壳温度升高对设备可能会有什么后果?,后果,4
有没有目测可以应对这个问题?,方法,2
解决这个问题需要采用什么样的低电压励磁试验?,方法,2
这个问题的数据采集模块损坏通常是什么情况?,原因,1
用什么检查开机令回路接线可以解决这个故障?,方法,2
这个故障的传感器节点抖动是什么情况?,原因,1
这个变压器损耗的表现有哪些特点?,故障,3
这个问题的最佳检查起励电源回路断路器是否闭合且回路电压是否正常是什么?,方法,2
能否描述一下这个GIS设备的设备构成?,设备组成,0
这个故障一般用什么增加散热和通风措施来应对?,方法,2
这个水分进入变压器对设备会造成什么样的影响?,后果,4
一般来说，这种转子引线包括哪些设备?,设备组成,0
你能介绍一下这个碳粉堆积故障的常见情况吗?,故障,3
这个问题的最佳增加散热和通风措施是什么?,方法,2
这个问题可能会导致什么断路器合闸不成功?,后果,4
能描述一下这个导电回路接触不良对设备造成的影响吗?,故障,3
能详细描述一下这个发电机出口断路器操动机构不能储能的表现情况吗?,故障,3
中性点套管主要是由哪些设备组成的?,设备组成,0
对于这个故障，有没有一些常见的更换密封圈?,方法,2
这个装配组装工艺不佳可能是造成这个故障的原因吗?,原因,1
这个气体混有水蒸气会对设备造成什么影响?,故障,3
能分享一下解决这个故障的更换调节器板件吗?,方法,2
能具体说说这个铁芯的设备组成情况吗?,设备组成,0
发生这个故障会有什么集电环短路?,后果,4
这个发电机出口断路器操动机构不能储能一般会有什么样的症状?,故障,3
这个问题可能引发什么样的电力系统造成很大的冲击?,后果,4
通常是什么材料问题引起了这个故障的发生?,原因,1
这个故障的电刷损坏是什么情况?,原因,1
通常是什么线槽内的线棒发生振动导致了这个故障?,原因,1
这个电晕是什么?,后果,4
这个高阻接地一般会有怎样的影响?,故障,3
能否介绍一下针对这个故障的测量励磁系统外部输入电源是否正常?,方法,2
请问一下，这个断路器都包含哪些设备?,设备组成,0
请问一下，这个发电机线棒都包含哪些设备?,设备组成,0
你能说说这个油道堵塞通常会出现什么情况吗?,故障,3
如果出现这个故障，会有什么电晕影响?,后果,4
二次回路一般由什么设备组成?,设备组成,0
这个电压互感器断线故障一般会有怎样的影响?,故障,3
这个操动机构拒合会对工作产生什么样的影响?,后果,4
这个通风冷却不良可能导致这个故障吗?,原因,1
二次回路上有什么设备呢?,设备组成,0
这个壳式变压器通常包含哪些设备呢?,设备组成,0
这个问题会导致什么条痕?,后果,4
这个问题可能导致什么集电环短路?,后果,4
这个高低压引线所含的设备有哪些?,设备组成,0
对于这个故障，有没有一些常见的增加散热和通风措施?,方法,2
你能介绍一下这个脉冲异常故障的常见情况吗?,故障,3
这个问题可能导致什么绝缘电阻和吸收比降低?,后果,4
这种R弯部防晕结构失效有哪些提示性的信号或迹象?,故障,3
这个问题的解决检查监控流程及相关控制方式是否正确是什么?,方法,2
这个绝缘损伤会对设备造成什么影响?,故障,3
一般来说，这种微机保护二次回路包括哪些设备?,设备组成,0
能描述一下这个阻尼环接头故障的典型情况吗?,故障,3
转子内部都有哪些设备?,设备组成,0
这个问题的支持绝缘子脏污或受损;离相封闭母线密封不严导致受潮是什么情况?,原因,1
为什么会有这个故障，分合闸线圈损坏是什么原因?,原因,1
能说一下这个绝缘部件的设备组成吗?,设备组成,0
发电机高压绕组主要是由哪些设备组成的?,设备组成,0
这种导叶反馈值偏大通常是怎样的？,故障,3
这个线槽内的线棒发生振动会对工作产生什么样的影响?,后果,4
这个故障通常是由什么发电机长期停用受潮引起的?,原因,1
这个集电环大面积打火可能对工作有怎样的影响?,后果,4
微机保护二次回路抗干扰性能差一般会在哪些情况下发生?,故障,3
能说一下这个漏气故障在设备上的表现吗?,故障,3
这个通信故障有哪些典型的特征？,故障,3
绝缘纸里面有哪些设备呢?,设备组成,0
这种油箱故障的症状有哪些特点?,故障,3
变压器损耗会在设备哪个部分出现?,故障,3
为什么会有这个故障，电刷打火或其他故障烧伤集电环表面是什么原因?,原因,1
这个故障通常是由什么外力损伤引起的?,原因,1
你能介绍一下这个脉冲异常的常见情况吗?,故障,3
监视、控制、保护和联锁等二次设备主要是由哪些设备组成的?,设备组成,0
这个增减负荷失灵通常出现在哪些设备上?,故障,3
这个操动机构拒合通常出现在哪些设备上?,故障,3
这个问题的最佳更换绝缘子;更换密封圈是什么?,方法,2
可以详细描述一下这个绕组间绝缘的设备构成吗?,设备组成,0
怎样的对于可能存在的漏气部位(如法兰连接处、气路接头、伸缩节等)进行检漏，找到漏点后进行封堵可以解决这个故障?,方法,2
这个绝缘故障通常表现为何种状况?,故障,3
这个金属尖端放电通常会在什么情况下显现出来?,故障,3
GIS设备通常包含什么设备?,设备组成,0
这个局部过热对设备会造成什么样的影响?,后果,4
这个问题可能会导致什么内部击穿?,后果,4
这个问题可能导致什么对机组安全运行造成直接威胁?,后果,4
请问一下，这个绕组都包含哪些设备?,设备组成,0
发生这个故障会有什么对安全极为不利?,后果,4
这个悬浮杂质放电会导致什么问题?,故障,3
这个通信模块损坏会引发这个故障吗?,原因,1
有什么将螺栓的螺母均匀紧固，并按照规定压力装压可以用来解决这个故障?,方法,2
这种电气问题通常有哪些典型表现?,故障,3
这个问题可能会对工作带来什么误动?,后果,4
母线接头发热一般会在哪些情况下发生?,故障,3
这个脉冲回路接触不良会引发这个故障吗?,原因,1
什么制造缺陷导致了这个故障的发生?,原因,1
这个机械故障一般会有怎样的影响?,故障,3
变压器本体常见故障一般会在哪些情况下发生?,故障,3
通常是什么长期过负荷运行导致了这个故障?,原因,1
这个电压互感器出现异声和异常振动会对工作环境产生什么影响?,后果,4
这个故障的常见检查监控流程及相关控制方式是否正确有哪些?,方法,2
能说一下这个电压互感器的设备组成吗?,设备组成,0
真空断路器由什么设备组成?,设备组成,0
这种绝缘缺陷会对设备的工作产生什么影响?,故障,3
这个铁芯中间部位松动一般会有怎样的影响?,故障,3
发电机高压绕组里面都有些啥设备?,设备组成,0
这个故障可以采用哪些修复或更换辅助开关解决?,方法,2
能告诉我这个二次回路的设备组成吗?,设备组成,0
这种机械故障通常有哪些典型表现?,故障,3
发电机高压绕组通常包含什么设备?,设备组成,0
这个结构件或电磁屏蔽形成短路环一般会有什么样的症状?,故障,3
能具体说说这个真空断路器的设备组成情况吗?,设备组成,0
什么电刷质量存在问题导致了这个故障的发生?,原因,1
这个问题的最佳保持接触面平整光洁是什么?,方法,2
这个变压器放电性故障一般会有怎样的影响?,故障,3
这个问题可能引发什么样的监控系统报警?,后果,4
通常会有什么运行中弹簧长期处于压缩(拉伸)状态导致这个故障?,原因,1
低压套管通常包含什么设备?,设备组成,0
绝缘套管上有什么设备呢?,设备组成,0
这个故障的励磁系统的PSS参数设置不当是什么情况?,原因,1
发生了这个故障，会导致什么绝缘电阻和吸收比降低?,后果,4
这个问题发生了会有什么变形?,后果,4
解决这个问题需要采用什么样的检查操作回路是否被低气压或低油压闭锁?,方法,2
这种电力电缆绝缘降低通常有哪些典型表现?,故障,3
为什么会有这个故障，互感器二次侧熔丝熔断是什么主要情况?,原因,1
哪种更换密封圈最适合解决这个故障?,方法,2
这个故障的常见检查电刷接触面积有哪些?,方法,2
能否描述一下这个电磁式的设备构成?,设备组成,0
这个故障通常是由什么加速氧化引起的?,原因,1
发生这个故障会带来怎样的水分进入变压器?,后果,4
如果发生这个故障，会有什么电晕?,后果,4
解决这个问题需要采用什么样的通过测试命令逐段检查导致通信异常的位置，检查通信接口插拔是否存在松动、接触不良等情况?,方法,2
支撑件内部都有哪些设备?,设备组成,0
操动机构包括了哪些设备?,设备组成,0
为什么出现了这个故障，通信回路接触不良是什么主要原因?,原因,1
这个干式变压器都有些什么设备?,设备组成,0
噪声过大会在设备哪个部分出现?,故障,3
接头损坏一般会在哪些情况下发生?,故障,3
这款断路器是由哪些设备组成的?,设备组成,0
发生这个故障会有什么电压互感器出现异声和异常振动?,后果,4
通常是什么热继电器动作切断电源导致了这个故障?,原因,1
能否描述一下这个发电机线棒的设备构成?,设备组成,0
如果发生了这个故障，会有什么电压互感器出现异声和异常振动?,后果,4
这个问题发生了会有什么内部击穿?,后果,4
这个随着时间的增加外壳温度升高是什么?,后果,4
这个绝缘套管通常包含哪些设备呢?,设备组成,0
为什么出现了这个故障，PID调节参数设置不当是什么?,原因,1
这个母线接头发热的表现有哪些特点?,故障,3
这个故障的油中混入杂质、空气通常是什么?,原因,1
这个辅助开关及限位开关行程调整不当通常会导致这个故障的发生吗?,原因,1
解决这个故障需要使用怎样的如果还未合到位，不能达到三相完全同期，应安排计划停电检修?,方法,2
哪种更换绝缘子最适合解决这个故障?,方法,2
发生这个故障会有什么凹痕、条痕?,后果,4
解决这个故障需要使用怎样的清扫集电环?,方法,2
解决这个故障需要使用怎样的高阻防晕漆涂刷?,方法,2
如果出现这个故障，会有什么集电环短路影响?,后果,4
发电机高压绕组上有什么设备呢?,设备组成,0
这个转子支架具体由哪些设备构成?,设备组成,0
这个监控系统报警对设备可能会造成什么影响?,后果,4
这个绝缘件击穿可能是造成这个故障的原因吗?,原因,1
这个造成传动不到位是什么?,后果,4
能描述一下这个停电的典型情况吗?,故障,3
怎样的剖开绝缘盒对电接头进行仔细检查，辅以直流电阻测试可以解决这个故障?,方法,2
这个监控系统报警是什么?,后果,4
中性点套管主要是由哪些设备组成的?,设备组成,0
能说一下这个局部放电在设备上的表现吗?,故障,3
这种铁芯整体松动通常有哪些典型表现?,故障,3
为什么会出现这个故障，设计或制造不良、安装工艺不到位、焊接质量不佳是什么?,原因,1
能描述一下这个增减负荷缓慢的典型情况吗?,故障,3
定子线棒由什么设备组成?,设备组成,0
这个密封破损可能是造成这个故障的原因吗?,原因,1
这个功率给定(开度给度)调节回路异常可能是造成这个故障的原因吗?,原因,1
这个故障的设备受潮、脏污是什么情况?,原因,1
特种变压器一般由什么设备组成?,设备组成,0
这个线槽内的线棒发生振动可能导致这个故障吗?,原因,1
一般来说，这种微机保护二次回路包括哪些设备?,设备组成,0
这个问题可能会造成什么绝缘电阻和吸收比降低?,后果,4
通常是什么起励电源未投人造成了这个故障?,原因,1
可以描述一下这种增减负荷失灵的表现吗?,故障,3
这个油箱变形可能导致这个故障吗?,原因,1
可以详细描述一下这个绕组的设备构成吗?,设备组成,0
能描述一下这个集电环表面损蚀故障的典型情况吗?,故障,3
这个真空断路器具体由哪些设备构成?,设备组成,0
这个发电机线棒通常包含哪些设备呢?,设备组成,0
这个变压器放电性故障通常出现在哪些设备上?,故障,3
这个测量异常的表现有哪些特点?,故障,3
这个装配组装工艺不佳导致了这个故障的发生吗?,原因,1
这个电容式通常包含哪些设备呢?,设备组成,0
干式变压器里面都有些啥设备?,设备组成,0
你能说说这个功率柜故障通常会出现什么情况吗?,故障,3
绝缘板是由什么设备构成的?,设备组成,0
这个问题的水分进入变压器可能是什么?,后果,4
断路器包括了哪些设备?,设备组成,0
这个绝缘材料的污染、腐蚀会引发这个故障吗?,原因,1
这个油道堵塞会对设备造成什么影响?,故障,3
这个问题的通用检查故障相气体隔室密度继电器指示是否压力低，正常则复归信号是什么?,方法,2
这个中低压配电装置通常包含哪些设备呢?,设备组成,0
什么调整接触压力能够处理这个故障?,方法,2
这种干式变压器的设备组成是怎么样的?,设备组成,0
能详细描述一下这个试验击穿的表现情况吗?,故障,3
这个问题的变送器或传感器测量不准或故障是什么?,原因,1
通常是什么控制电源断开造成了这个故障?,原因,1
为什么会有这个故障，线圈积灰是什么主要原因?,原因,1
为什么会出现这个故障，操作不当导致是什么?,原因,1
二次回路内部都有哪些设备?,设备组成,0
这个故障会引发什么监控系统报警?,后果,4
这个局部过热对设备可能会有什么后果?,后果,4
这种微机保护二次回路的设备组成是怎么样的?,设备组成,0
这个故障通常是由什么现地设备故障引起的?,原因,1
这个问题的最佳油中溶解气体分析是什么?,方法,2
这个变送器或传感器测量不准或故障会引发这个故障吗?,原因,1
这个弹簧操动机构合闸储能回路故障会对设备造成什么影响?,故障,3
这个故障的常见首先用清洗剂对铁芯表面进行全面清洗，除去油泥、积灰，再对铁芯叠片间毛刺、翘卷、粘连的地方使用细锉、纱布手工打磨，去掉尖锐的毛刺，凸起翘卷部位修平，用磁铁吸走铁粉。铁芯叠片的损伤粘连部分采用电蚀化法进行修整。有哪些?,方法,2
这个绝缘电阻和吸收比降低对设备会造成什么样的影响?,后果,4
这种变压器过热故障通常有哪些典型表现?,故障,3
请问一下，这个滑环装置都包含哪些设备?,设备组成,0
对于这个故障，有没有一些常见的三比值法”?,方法,2
这种真空断路器的设备组成是怎么样的?,设备组成,0
一般来说，这种二次回路包括哪些设备?,设备组成,0
这个绝缘损坏，如磨损、裂纹等会引发这个故障吗?,原因,1
能说一下这个绕组的设备组成吗?,设备组成,0
如果发生这个故障，会带来什么对安全极为不利?,后果,4
通常是什么电流互感器二次侧有开路故障造成了这个故障?,原因,1
这个问题的最佳直流电阻测量是什么?,方法,2
这款芯式变压器主要是由什么设备构成的?,设备组成,0
通常是什么虚焊引起了这个故障的发生?,原因,1
这个故障的常见检查监控流程及相关控制方式是否正确有哪些?,方法,2
这个测量异常会对设备的运行产生什么影响?,故障,3
哪种合上控制电源，更换线圈是最常用的解决方法?,方法,2
对于这个故障，有没有一些常见的油颗粒度测试?,方法,2
这个功率柜故障会导致什么问题?,故障,3
能告诉我这个支撑件的设备组成吗?,设备组成,0
这个问题的变形可能是怎样的?,后果,4
怎样的检查监控流程及相关控制方式是否正确可以解决这个故障?,方法,2
集电环绝缘偏低会在设备哪个部分出现?,故障,3
对于这个故障，有没有特别推荐的剖开绝缘盒对电接头进行仔细检查，辅以直流电阻测试?,方法,2
这个故障的调频元件或回路故障通常是什么?,原因,1
有没有集电环打磨是特别推荐的来应对这个故障?,方法,2
这个问题的电晕可能是怎样的?,后果,4
这个发电机定子故障的表现有哪些特点?,故障,3
绝缘板上有什么设备呢?,设备组成,0
请问一下，这个调速器都包含哪些设备?,设备组成,0
请问一下，这个发电机定子故障有哪些特征？,故障,3
哪种过电流试验(1.1倍)最适合解决这个故障?,方法,2
为什么会有这个故障，接触不良通常是什么?,原因,1
转子支架上有什么设备呢?,设备组成,0
能说一下这个电晕在设备上的表现吗?,故障,3
这个母线通常包含哪些设备呢?,设备组成,0
这个线圈积灰可能是导致这个故障的原因吗?,原因,1
有载分接开关绝缘简渗漏一般会在哪些情况下发生?,故障,3
为什么出现了这个故障，调频元件或回路故障是什么主要原因?,原因,1
这个集电环大面积打火是什么?,后果,4
通常是什么绝缘材料的污染、腐蚀造成了这个故障?,原因,1
绝缘部件包括了哪些设备?,设备组成,0
对于这个故障，可以采用什么更换?,方法,2
这个误动对设备会造成什么样的影响?,后果,4
这个问题可能引发什么样的对安全极为不利?,后果,4
这个环境和温度的影响可能导致这个故障吗?,原因,1
这个条痕对设备可能会有什么后果?,后果,4
这个微机保护二次回路抗干扰性能差会导致什么问题?,故障,3
为什么会有这个故障，测量回路接线错误是什么主要情况?,原因,1
发电机转子是由什么设备构成的?,设备组成,0
能详细描述一下这个变压器本体常见故障的表现情况吗?,故障,3
解决这个问题需要采用什么样的油中含气量测试?,方法,2
为什么会有这个故障，焊接质量问题通常是什么?,原因,1
这个碳粉堆积故障一般会有怎样的影响?,故障,3
这个虚焊可能导致这个故障吗?,原因,1
转子中心体上都有什么设备?,设备组成,0
这个母线通常包含哪些设备呢?,设备组成,0
这个电力系统造成很大的冲击会对工作环境产生什么影响?,后果,4
为什么发生了这个故障，运行中弹簧长期处于压缩(拉伸)状态通常是什么?,原因,1
解决这个问题需要采用什么样的电缆受潮部分、绝缘受到损伤或过热碳化部分应锯除，按工艺要求重新做好中间接头或者终端头?,方法,2
能分享一下解决这个故障的采用纯氮气对气室进行干燥处理、更换干燥剂吗?,方法,2
断路器是由什么设备构成的?,设备组成,0
为什么会有这个故障，受长期运行振动和温度的影响，槽楔和垫条会出现松动是什么主要情况?,原因,1
能描述一下这个传动机构及锈蚀部件的典型情况吗?,故障,3
通常是什么受长期运行振动和温度的影响，槽楔和垫条会出现松动引起了这个故障的发生?,原因,1
这个风压或者风速低会引发这个故障吗?,原因,1
这个问题的最佳低电压励磁试验是什么?,方法,2
这个起励失败一般会有什么样的症状?,故障,3
变压器主要是由哪些设备组成的?,设备组成,0
这个故障的恒压弹簧压力不适是什么情况?,原因,1
这个条痕会对设备产生什么不利影响?,后果,4
为什么会有这个故障，多机并列运行时永态转差系数bp整定偏小是什么原因?,原因,1
为什么会有这个故障，电缆接头故障是什么主要原因?,原因,1
这个油道堵塞的表现有哪些特点?,故障,3
如何选择正确的分析事故原因来解决这个问题?,方法,2
这个出现不均匀电场或者环境脏污受潮可能是造成这个故障的主要原因吗?,原因,1
发电机线棒是由什么设备构成的?,设备组成,0
这种部件损坏通常是怎样的？,故障,3
为什么发生了这个故障，电缆本体的正常老化是什么?,原因,1
这个三相电源隔离开关未合上通常会导致这个故障的发生吗?,原因,1
能否描述一下这个信号回路的设备构成?,设备组成,0
如果出现这个故障，会有什么电力系统造成很大的冲击影响?,后果,4
通常会有什么设备受潮、脏污导致这个故障?,原因,1
这个故障的设备受潮、脏污是什么情况?,原因,1
一般来说，这种二次回路包括哪些设备?,设备组成,0
这个问题可能引发什么样的集电环短路?,后果,4
这个拒分、拒合是什么?,后果,4
这个问题可能会导致什么对机组安全运行造成直接威胁?,后果,4
会出现这个故障会有什么急剧磨损?,后果,4
能否介绍一下针对这个故障的如果还未合到位，不能达到三相完全同期，应安排计划停电检修?,方法,2
能具体说说这个干式变压器的设备组成情况吗?,设备组成,0
能详细描述一下这个磁极本体故障的表现情况吗?,故障,3
这个油路通道堵塞通常会导致这个故障的发生吗?,原因,1
请问，这个接头局部过热并使接头的电阻逐步增大通常会表现为何种情况?,故障,3
这种电流互感器运行声音变大的表现有多严重?,故障,3
解决这个故障需要使用怎样的依此排查操作命令下发条件是否满足、开关量输出模件是否故障、开关量输出继电器是否故障、开关量输出工作电源是否未投人或故障、柜内回路接线是否松动、被控设备本身是否故障、调节参数设置是否合适等?,方法,2
这个问题的解决检查并调整电刷弹簧压力是什么?,方法,2
用什么清除接触面的氧化层可以解决这个故障?,方法,2
能分享一下解决这个故障的检查操作回路是否被低气压或低油压闭锁吗?,方法,2
这个脉冲回路接触不良可能是造成这个故障的主要原因吗?,原因,1
这个故障的锈蚀使接触电阻增加通常是什么?,原因,1
这个问题的误动可能是怎样的?,后果,4
为什么出现了这个故障，断股、虚焊是什么?,原因,1
如果发生了这个故障，会有什么断路器合闸不成功?,后果,4
通常是什么电压互感器通态特性差异偏大引起了这个故障的发生?,原因,1
可以描述一下这种集电环打火的表现吗?,故障,3
对于这个故障，有没有一些常见的解体检查?,方法,2
为什么会出现这个故障，安装和检修质量不良是什么?,原因,1
用什么检查紧固夹件及拉杆螺栓、铁芯底部托盘螺栓、外罩的上下网板是否松动，并进行相应紧固处理可以解决这个故障?,方法,2
能分享一下解决这个故障的检查操作回路是否被低气压或低油压闭锁吗?,方法,2
这个故障通常是由什么二次元件老化损坏使电气回路异常而拒动引起的?,原因,1
真空断路器里面都有些啥设备?,设备组成,0
用什么进行更换可以解决这个故障?,方法,2
电磁式由什么设备组成?,设备组成,0
如果发生了这个故障，会有什么凹痕、条痕?,后果,4
二次回路由什么设备组成?,设备组成,0
